"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","label"
"IGHG2",9.96793674673201e-240,2.21908514574815,0.996,0.936,1.65427878248765e-235,"Up","IGHG2"
"CCL19",4.13609213298532e-229,1.80761937512063,0.72,0.26,6.86425850390243e-225,"Up","CCL19"
"JCHAIN",8.71886404859076e-224,1.63367155002597,0.986,0.839,1.44698267750412e-219,"Up","JCHAIN"
"IGLC1",9.24510645587582e-210,1.71062193513259,0.999,0.915,1.53431786741715e-205,"Up","IGLC1"
"IGKV4-1",6.73068380237776e-209,1.85553219900874,0.965,0.824,1.11702428384261e-204,"Up","IGKV4-1"
"IGHG1",5.4687512342374e-199,1.90022317256515,0.999,0.962,9.07593954834038e-195,"Up","IGHG1"
"POU2AF1",4.67775865757591e-194,1.06903471015494,0.693,0.263,7.76320826811298e-190,"Up","POU2AF1"
"MS4A1",1.20683077179649e-190,1.05484301767526,0.454,0.101,2.00285634887345e-186,"Up","MS4A1"
"CD79A",6.1554171188699e-173,1.03384688050449,0.65,0.248,1.02155302504765e-168,"Up","CD79A"
"IGKC",3.27049775037485e-143,2.16048436914874,1,0.984,5.4277180665221e-139,"Up","IGKC"
"IGHA1",4.02397146698733e-142,1.54173621826976,0.992,0.912,6.67818304661217e-138,"Up","IGHA1"
"MZB1",3.36307170370143e-141,1.05473683884862,0.713,0.355,5.58135379946289e-137,"Up","MZB1"
"IGHG3",7.44619977059877e-141,1.50881944187625,0.963,0.816,1.23577131392857e-136,"Up","IGHG3"
"PTGDS",5.12001409369895e-136,1.34380255592598,0.858,0.6,8.49717538990278e-132,"Up","PTGDS"
"CD37",9.66439946622447e-130,1.11249273676269,0.904,0.731,1.60390373541461e-125,"Up","CD37"
"LTB",6.0259275592915e-128,1.07451677629753,0.761,0.464,1.00006293774002e-123,"Up","LTB"
"IGLV3-1",3.57884610294097e-118,1.9625822866313,0.855,0.628,5.93945299244083e-114,"Up","IGLV3-1"
"IGHG4",8.86679422510248e-117,1.87572177379777,0.866,0.641,1.47153316959801e-112,"Up","IGHG4"
"IGHM",1.3471260941898e-111,1.40187980003197,0.932,0.726,2.23569046591739e-107,"Up","IGHM"
"XBP1",5.30757202910679e-108,1.12393530949984,0.954,0.895,8.80844653950562e-104,"Up","XBP1"
"IGHJ6",1.40634272130983e-78,1.89571131135213,0.817,0.558,2.33396638028579e-74,"Up","IGHJ6"
"IGHJ2",1.35651029366147e-75,1.04656649790836,0.525,0.264,2.25126448336057e-71,"Up","IGHJ2"
"C7",4.75885623618974e-68,1.10997901509261,0.696,0.473,7.89779780958049e-64,"Up","C7"
"SERPINA1",1.41295611387793e-20,-1.17964406242266,0.606,0.761,2.34494196659181e-16,"Down","SERPINA1"
