"","x"
"1","AL627309.1"
"2","AL627309.5"
"3","LINC01409"
"4","LINC01128"
"5","LINC00115"
"6","FAM41C"
"7","LINC02593"
"8","SAMD11"
"9","NOC2L"
"10","KLHL17"
"11","PLEKHN1"
"12","PERM1"
"13","AL645608.7"
"14","HES4"
"15","ISG15"
"16","AGRN"
"17","C1orf159"
"18","AL390719.2"
"19","TNFRSF18"
"20","TNFRSF4"
"21","SDF4"
"22","B3GALT6"
"23","C1QTNF12"
"24","UBE2J2"
"25","SCNN1D"
"26","ACAP3"
"27","PUSL1"
"28","INTS11"
"29","CPTP"
"30","TAS1R3"
"31","DVL1"
"32","MXRA8"
"33","AURKAIP1"
"34","CCNL2"
"35","MRPL20-AS1"
"36","MRPL20"
"37","AL391244.2"
"38","ANKRD65"
"39","VWA1"
"40","ATAD3C"
"41","ATAD3B"
"42","ATAD3A"
"43","TMEM240"
"44","SSU72"
"45","AL645728.1"
"46","FNDC10"
"47","AL691432.2"
"48","MIB2"
"49","MMP23B"
"50","CDK11B"
"51","FO704657.1"
"52","SLC35E2B"
"53","CDK11A"
"54","SLC35E2A"
"55","NADK"
"56","GNB1"
"57","TMEM52"
"58","CFAP74"
"59","AL391845.2"
"60","GABRD"
"61","PRKCZ"
"62","PRKCZ-AS1"
"63","FAAP20"
"64","SKI"
"65","AL590822.3"
"66","MORN1"
"67","AL513477.2"
"68","RER1"
"69","PEX10"
"70","PLCH2"
"71","PANK4"
"72","HES5"
"73","AL139246.5"
"74","TNFRSF14-AS1"
"75","TNFRSF14"
"76","PRXL2B"
"77","MMEL1"
"78","TTC34"
"79","PRDM16-DT"
"80","ARHGEF16"
"81","MEGF6"
"82","TPRG1L"
"83","WRAP73"
"84","SMIM1"
"85","LRRC47"
"86","CEP104"
"87","DFFB"
"88","C1orf174"
"89","AL805961.1"
"90","AJAP1"
"91","NPHP4"
"92","KCNAB2"
"93","RPL22"
"94","AL031847.1"
"95","RNF207"
"96","ICMT"
"97","GPR153"
"98","ACOT7"
"99","HES2"
"100","ESPN"
"101","TNFRSF25"
"102","PLEKHG5"
"103","NOL9"
"104","ZBTB48"
"105","KLHL21"
"106","PHF13"
"107","THAP3"
"108","DNAJC11"
"109","CAMTA1-DT"
"110","CAMTA1"
"111","VAMP3"
"112","PER3"
"113","TNFRSF9"
"114","PARK7"
"115","ERRFI1"
"116","SLC45A1"
"117","RERE"
"118","ENO1"
"119","SLC2A5"
"120","GPR157"
"121","MIR34AHG"
"122","LNCTAM34A"
"123","H6PD"
"124","SPSB1"
"125","BX323043.1"
"126","LINC02606"
"127","SLC25A33"
"128","TMEM201"
"129","PIK3CD"
"130","PIK3CD-AS2"
"131","CLSTN1"
"132","CTNNBIP1"
"133","LZIC"
"134","AL357140.2"
"135","NMNAT1"
"136","RBP7"
"137","UBE4B"
"138","KIF1B"
"139","AL139424.2"
"140","PGD"
"141","CENPS"
"142","CORT"
"143","DFFA"
"144","PEX14"
"145","CASZ1"
"146","TARDBP"
"147","AL109811.2"
"148","SRM"
"149","EXOSC10"
"150","EXOSC10-AS1"
"151","MTOR"
"152","UBIAD1"
"153","FBXO2"
"154","FBXO44"
"155","FBXO6"
"156","MAD2L2"
"157","AGTRAP"
"158","C1orf167"
"159","MTHFR"
"160","CLCN6"
"161","AL021155.5"
"162","KIAA2013"
"163","PLOD1"
"164","MFN2"
"165","MIIP"
"166","TNFRSF8"
"167","TNFRSF1B"
"168","VPS13D"
"169","DHRS3"
"170","PDPN"
"171","PRDM2"
"172","KAZN"
"173","TMEM51-AS1"
"174","TMEM51"
"175","FHAD1"
"176","EFHD2"
"177","CASP9"
"178","DNAJC16"
"179","AL121992.3"
"180","AGMAT"
"181","DDI2"
"182","PLEKHM2"
"183","SLC25A34"
"184","SLC25A34-AS1"
"185","FBLIM1"
"186","UQCRHL"
"187","AL450998.2"
"188","SPEN"
"189","ZBTB17"
"190","HSPB7"
"191","CLCNKA"
"192","CLCNKB"
"193","FAM131C"
"194","EPHA2"
"195","ARHGEF19"
"196","AL109627.1"
"197","CPLANE2"
"198","FBXO42"
"199","SZRD1"
"200","NECAP2"
"201","LINC01772"
"202","AL137802.2"
"203","NBPF1"
"204","CROCC"
"205","BX284668.5"
"206","MFAP2"
"207","ATP13A2"
"208","SDHB"
"209","PADI2"
"210","LINC02783"
"211","PADI1"
"212","PADI4"
"213","RCC2"
"214","ARHGEF10L"
"215","IGSF21"
"216","KLHDC7A"
"217","ALDH4A1"
"218","IFFO2"
"219","AL137127.1"
"220","UBR4"
"221","EMC1-AS1"
"222","EMC1"
"223","MRTO4"
"224","AKR7A3"
"225","AKR7A2"
"226","SLC66A1"
"227","CAPZB"
"228","MICOS10"
"229","NBL1"
"230","HTR6"
"231","TMCO4"
"232","RNF186"
"233","AL391883.1"
"234","OTUD3"
"235","PLA2G5"
"236","PLA2G2D"
"237","UBXN10-AS1"
"238","UBXN10"
"239","LINC01141"
"240","CAMK2N1"
"241","MUL1"
"242","FAM43B"
"243","CDA"
"244","PINK1"
"245","PINK1-AS"
"246","DDOST"
"247","KIF17"
"248","SH2D5"
"249","HP1BP3"
"250","EIF4G3"
"251","ECE1"
"252","NBPF3"
"253","ALPL"
"254","RAP1GAP"
"255","USP48"
"256","LDLRAD2"
"257","HSPG2"
"258","LINC00339"
"259","CDC42"
"260","WNT4"
"261","ZBTB40"
"262","C1QA"
"263","C1QC"
"264","C1QB"
"265","EPHB2"
"266","KDM1A"
"267","LUZP1"
"268","LINC01355"
"269","HNRNPR"
"270","ZNF436"
"271","ZNF436-AS1"
"272","AL109936.2"
"273","TCEA3"
"274","ASAP3"
"275","E2F2"
"276","ID3"
"277","RPL11"
