"","x"
"1","SAMD11"
"2","NOC2L"
"3","KLHL17"
"4","PLEKHN1"
"5","HES4"
"6","ISG15"
"7","AGRN"
"8","C1orf159"
"9","TNFRSF18"
"10","TNFRSF4"
"11","SDF4"
"12","B3GALT6"
"13","C1QTNF12"
"14","UBE2J2"
"15","SCNN1D"
"16","ACAP3"
"17","PUSL1"
"18","INTS11"
"19","CPTP"
"20","DVL1"
"21","MXRA8"
"22","AURKAIP1"
"23","CCNL2"
"24","VWA1"
"25","ATAD3C"
"26","TMEM240"
"27","SSU72"
"28","FNDC10"
"29","MIB2"
"30","MMP23B"
"31","CDK11B"
"32","SLC35E2B"
"33","SLC35E2A"
"34","NADK"
"35","GNB1"
"36","CALML6"
"37","TMEM52"
"38","CFAP74"
"39","GABRD"
"40","PRKCZ"
"41","FAAP20"
"42","SKI"
"43","MORN1"
"44","RER1"
"45","PEX10"
"46","PLCH2"
"47","PANK4"
"48","HES5"
"49","TNFRSF14"
"50","PRXL2B"
"51","PRDM16"
"52","ARHGEF16"
"53","MEGF6"
"54","TPRG1L"
"55","WRAP73"
"56","TP73"
"57","SMIM1"
"58","LRRC47"
"59","CEP104"
"60","DFFB"
"61","C1orf174"
"62","AJAP1"
"63","NPHP4"
"64","KCNAB2"
"65","CHD5"
"66","RNF207"
"67","ICMT"
"68","GPR153"
"69","ACOT7"
"70","HES2"
"71","TNFRSF25"
"72","PLEKHG5"
"73","NOL9"
"74","ZBTB48"
"75","KLHL21"
"76","PHF13"
"77","THAP3"
"78","DNAJC11"
"79","CAMTA1"
"80","VAMP3"
"81","PER3"
"82","UTS2"
"83","TNFRSF9"
"84","PARK7"
"85","ERRFI1"
"86","SLC45A1"
"87","RERE"
"88","ENO1"
"89","SLC2A7"
"90","SLC2A5"
"91","GPR157"
"92","H6PD"
"93","SPSB1"
"94","SLC25A33"
"95","TMEM201"
"96","PIK3CD"
"97","CLSTN1"
"98","CTNNBIP1"
"99","LZIC"
"100","NMNAT1"
"101","RBP7"
"102","UBE4B"
"103","KIF1B"
"104","PGD"
"105","CENPS"
"106","CORT"
"107","DFFA"
"108","PEX14"
"109","CASZ1"
"110","C1orf127"
"111","SRM"
"112","EXOSC10"
"113","MTOR"
"114","UBIAD1"
"115","DISP3"
"116","FBXO2"
"117","FBXO44"
"118","FBXO6"
"119","MAD2L2"
"120","AGTRAP"
"121","MTHFR"
"122","CLCN6"
"123","PLOD1"
"124","MFN2"
"125","MIIP"
"126","TNFRSF8"
"127","TNFRSF1B"
"128","VPS13D"
"129","DHRS3"
"130","HNRNPCL1"
"131","PRAMEF4"
"132","PDPN"
"133","PRDM2"
"134","KAZN"
"135","TMEM51"
"136","FHAD1"
"137","EFHD2"
"138","CTRC"
"139","CASP9"
"140","DNAJC16"
"141","AGMAT"
"142","DDI2"
"143","PLEKHM2"
"144","SLC25A34"
"145","FBLIM1"
"146","UQCRHL"
"147","SPEN"
"148","ZBTB17"
"149","HSPB7"
"150","CLCNKA"
"151","FAM131C"
"152","EPHA2"
"153","ARHGEF19"
"154","CPLANE2"
"155","FBXO42"
"156","SZRD1"
"157","NECAP2"
"158","NBPF1"
