"","x"
"AL627309.1",-0.657163742690058
"AL627309.5",-1.12865497076023
"LINC01409",3.92909356725146
"LINC01128",-1.95248538011696
"LINC00115",-6.33333333333333
"FAM41C",-2.62865497076023
"LINC02593",-1.10477582846004
"SAMD11",-1.86988304093567
"NOC2L",-0.958820662768031
"KLHL17",-2.19688109161793
"PLEKHN1",-1.09844054580897
"PERM1",-2.16666666666667
"AL645608.7",-1.11111111111111
"HES4",-1.55482456140351
"ISG15",-0.492300194931774
"AGRN",-0.677579365079365
"C1orf159",-21.3874269005848
"AL390719.2",-2.82383040935673
"TNFRSF18",-0.980994152046784
"TNFRSF4",-0.758771929824561
"SDF4",-0.917978707452392
"B3GALT6",-0.750584795321637
"C1QTNF12",-2.08576998050682
"UBE2J2",-0.6424774056353
"SCNN1D",-1.65399610136452
"ACAP3",-1.02318295739348
"PUSL1",-0.980994152046784
"INTS11",-0.974658869395711
"CPTP",-0.824853801169591
"TAS1R3",-0.752436647173489
"DVL1",-0.858604845446951
"MXRA8",-7.02604997341839
"AURKAIP1",-8.9953216374269
"CCNL2",-0.95057536313903
"MRPL20-AS1",-0.596978557504873
"MRPL20",-0.91655420602789
"AL391244.2",-2.60964912280702
"ANKRD65",-2.31432748538012
"VWA1",-1.49475404196766
"ATAD3C",-1.75
"ATAD3B",-1.71052631578947
"ATAD3A",-2.46198830409357
"TMEM240",-1
"SSU72",-1.21996278575226
"AL645728.1",-1
"FNDC10",-2.31432748538012
"AL691432.2",-21.3874269005848
"MIB2",-1.35599415204678
"MMP23B",-0.804824561403509
"CDK11B",-2.33333333333333
"FO704657.1",-0.666666666666667
"SLC35E2B",-0.98416179337232
"CDK11A",-1.97149122807018
"SLC35E2A",-1.70321637426901
"NADK",-0.974658869395711
"GNB1",-0.792680626296925
"TMEM52",-1
"CFAP74",-1
"AL391845.2",-1
"GABRD",-1.97624269005848
"PRKCZ",-1.15953947368421
"PRKCZ-AS1",0.0190058479532164
"FAAP20",-1.26315789473684
"SKI",-1.05506822612086
"AL590822.3",-4.33333333333333
"MORN1",-0.746101364522417
"AL513477.2",-4.33333333333333
"RER1",-0.930230669265757
"PEX10",-23.1001461988304
"PLCH2",-1.41276803118908
"PANK4",-18.2889863547758
"HES5",-1.66666666666667
"AL139246.5",-2.65716374269006
"TNFRSF14-AS1",-1.28581871345029
"TNFRSF14",-0.597029855340105
"PRXL2B",-1.71052631578947
"MMEL1",-0.314327485380117
"TTC34",-2.16666666666667
"PRDM16-DT",-1
"ARHGEF16",-1.30672514619883
"MEGF6",-1.14449317738791
"TPRG1L",-0.638157894736842
"WRAP73",-0.961988304093567
"SMIM1",14.0233918128655
"LRRC47",-0.530214424951267
"CEP104",-27.8973684210526
"DFFB",3.14327485380117
"C1orf174",-1.10964912280702
"AL805961.1",-1.82383040935673
"AJAP1",-1.16666666666667
"NPHP4",1.98440545808967
"KCNAB2",-28.1315789473684
"RPL22",-0.536629816550509
"AL031847.1",-0.666666666666667
"RNF207",-1.43625730994152
"ICMT",-0.639515455304929
"GPR153",-23.9906432748538
"ACOT7",-1.14132553606238
"HES2",-1.14766081871345
"ESPN",-1.66666666666667
"TNFRSF25",-0.874895572263993
"PLEKHG5",-1.73976608187134
"NOL9",-1.63340643274854
"ZBTB48",-0.869883040935673
"KLHL21",-1.13815789473684
"PHF13",-3.96198830409357
"THAP3",-0.814327485380117
"DNAJC11",-0.740183792815372
"CAMTA1-DT",-1
"CAMTA1",-1.35124269005848
"VAMP3",-1.00113710201429
"PER3",-2.96198830409357
"TNFRSF9",-1.63245614035088
"PARK7",-0.860038986354776
"ERRFI1",-1.19309491677913
"SLC45A1",-2.33333333333333
"RERE",-1.26790935672515
"ENO1",-0.831257436520594
"SLC2A5",-0.655388471177945
"GPR157",-3.83333333333333
"MIR34AHG",-1.56432748538012
"LNCTAM34A",-3.15716374269006
"H6PD",-1.20102339181287
"SPSB1",-0.634990253411306
"BX323043.1",-1
"LINC02606",-1.64766081871345
"SLC25A33",-30.4049707602339
"TMEM201",-1.77144249512671
"PIK3CD",-0.624853801169591
"PIK3CD-AS2",-2.31432748538012
"CLSTN1",-0.954191033138402
"CTNNBIP1",-1.56907894736842
"LZIC",-15.3287037037037
"AL357140.2",-0.64766081871345
"NMNAT1",-1.64766081871345
"RBP7",-1.10836988304094
"UBE4B",-0.961988304093567
"KIF1B",-0.82999164578112
"AL139424.2",-0.666666666666667
"PGD",-0.829861111111111
"CENPS",-2.75877192982456
"CORT",-0.971491228070175
"DFFA",-1.3000730994152
"PEX14",-1.96198830409357
"CASZ1",-0.752436647173489
"TARDBP",-26.5885315139701
"AL109811.2",-2.28581871345029
