"","x"
"SAMD11",-1.83333333333333
"NOC2L",-22.5872340425532
"KLHL17",-2.99007092198582
"PLEKHN1",-64.0553191489362
"HES4",-0.884295845997974
"ISG15",-0.447821681864235
"AGRN",-0.705673758865248
"C1orf159",-30.7141843971631
"TNFRSF18",-23.3517730496454
"TNFRSF4",-2.2936170212766
"SDF4",-1.44255319148936
"B3GALT6",-1.30354609929078
"C1QTNF12",-0.646808510638298
"UBE2J2",-1.13356973995272
"SCNN1D",-5.33333333333333
"ACAP3",-0.950354609929078
"PUSL1",-1
"INTS11",-0.764455569461827
"CPTP",-1.3968085106383
"DVL1",0.646276595744681
"MXRA8",-0.9301024428684
"AURKAIP1",-0.89645390070922
"CCNL2",-0.807429922323539
"VWA1",-1.34917257683215
"ATAD3C",-2.49007092198582
"TMEM240",-9.33333333333333
"SSU72",-1.76932624113475
"FNDC10",-8.98014184397163
"MIB2",-2.2936170212766
"MMP23B",-71.3886524822695
"CDK11B",-2.73806146572104
"SLC35E2B",-0.965248226950355
"SLC35E2A",-2.6468085106383
"NADK",-1.8968085106383
"GNB1",-2.90097517730496
"CALML6",-1.6468085106383
"TMEM52",-1.83333333333333
"CFAP74",-1
"GABRD",1.08723404255319
"PRKCZ",-0.990070921985816
"FAAP20",-0.975177304964539
"SKI",-0.970212765957447
"MORN1",-1.71229314420804
"RER1",0.537806873977087
"PEX10",-1.66666666666667
"PLCH2",-4.83333333333333
"PANK4",-3.20236406619385
"HES5",0
"TNFRSF14",-2.96425531914894
"PRXL2B",-2.64184397163121
"PRDM16",0.626950354609929
"ARHGEF16",-2.33333333333333
"MEGF6",-1.41796690307329
"TPRG1L",-2.31843971631206
"WRAP73",-1.08463356973995
"TP73",-3.66666666666667
"SMIM1",-3.83333333333333
"LRRC47",-0.80354609929078
"CEP104",-0.970212765957447
"DFFB",3.08510638297872
"C1orf174",-2.5386524822695
"AJAP1",2.02765957446809
"NPHP4",-1.81347517730496
"KCNAB2",-0.732624113475177
"CHD5",0
"RNF207",-20.2539007092199
"ICMT",-1.29929078014184
"GPR153",-0.682505910165485
"ACOT7",-0.975728920409771
"HES2",-0.666666666666667
"TNFRSF25",-1.99007092198582
"PLEKHG5",-2.30685579196218
"NOL9",-1.38687943262411
"ZBTB48",-0.713475177304965
