,0
0,IGKC
1,PPP1R16B
2,TGFBI
3,OGN
4,FCRL1
5,TIMP1
6,IGFBP7
7,FCMR
8,IRF7
9,CTSD
10,FBLN2
11,FTL
12,BANK1
13,BGN
14,CAVIN1
15,COL1A1
16,C3
17,IL32
18,NGFR
19,LGALS3BP
20,MT1E
21,CCN2
22,SPARC
23,HSPB1
24,FSTL1
25,LRP1
26,SELL
27,CST3
28,ACTB
29,AC119396.1
30,IGLC1
31,COL3A1
32,CCDC80
33,MT2A
34,NIBAN3
35,TXNDC5
36,POU2F2
37,CD37
38,COL1A2
39,IGHG1
40,FN1
41,CNN3
42,CD63
43,ITM2B
44,IGHG4
45,ACKR1
46,ACTA2
47,IGHA1
48,CR2
49,IGKV4-1
50,BLK
51,CCL19
52,B2M
53,IGHG2
54,MS4A1
55,JCHAIN
56,CD79A
57,LTB
58,CCL18
59,FDCSP
60,PLA2G2A
61,IGHG3
62,THBS4
63,FCRL3
64,CCL17
65,IGF1
66,PAX5
67,FCGR3A
68,MYL9
69,AEBP1
70,PI16
71,PTGDS
72,IGLV3-1
73,GZMB
74,VIM
75,SULF1
